No.,Feature1,Feature2,Feature3,Feature4,Feature5,Expected Output
12,0.956363636,0.12,0.021105008,0.004773449,0.049456189,0.333076877
12,0.956363636,0.12,0.024844656,0.000989771,0.046890452,0.334671527
12,0.956363636,0.12,0.021958889,0.005523876,0.046890452,0.326319258
12,0.956363636,0.253333333,0.053181697,0.014311998,0.044187496,0.367217882
12,0.956363636,0.253333333,0.046375337,0.014486935,0.048844646,0.392666707
12,0.956363636,0.253333333,0.051627498,0.008687528,0.030264989,0.377786761
12,0.956363636,0.253333333,0.065879128,0.021115021,0.038787375,0.3703122
12,0.956363636,0.253333333,0.043162748,0.00988039,0.02690452,0.351637372
12,0.956363636,0.253333333,0.034923413,0.009950841,0.0276871,0.381030094
12,0.956363636,0.253333333,0.042993457,0.014816133,0.025475109,0.368128909
12,0.956363636,0.253333333,0.057244097,0.020378854,0.030357921,0.376604373
12,0.956363636,0.386666667,0.085022235,0.024564653,0.03281865,0.411474174
12,0.956363636,0.386666667,0.068360842,0.016014643,0.034127297,0.429438681
12,0.956363636,0.386666667,0.085536345,0.016605532,0.032995113,0.433520107
12,0.956363636,0.386666667,0.07197313,0.015732108,0.033783336,0.446809346
12,0.956363636,0.386666667,0.077142798,0.021406803,0.033541139,0.427859227
12,0.956363636,0.386666667,0.069310245,0.020945043,0.028617285,0.427478421
12,0.956363636,0.386666667,0.072458852,0.017314577,0.033890305,0.420918622
12,0.956363636,0.386666667,0.077823291,0.026324157,0.025954674,0.4388344
12,0.956363636,0.386666667,0.071573623,0.014382507,0.033405798,0.427926402
12,0.956363636,0.386666667,0.077382764,0.015155574,0.028359879,0.427716712
12,0.956363636,0.386666667,0.075003948,0.019780278,0.026574385,0.430959985
12,0.956363636,0.386666667,0.076853257,0.017503664,0.029407307,0.429341692
12,0.956363636,0.386666667,0.06984062,0.02268338,0.042661318,0.441713859
12,0.956363636,0.386666667,0.078671979,0.016918086,0.035487361,0.4204718
12,0.956363636,0.386666667,0.086152723,0.024559914,0.026564528,0.426737656
12,0.956363636,0.386666667,0.076600347,0.015783049,0.030684919,0.433574088
12,0.956363636,0.386666667,0.068067317,0.01743978,0.037574257,0.427373504
12,0.956363636,0.386666667,0.070793675,0.018676647,0.038684881,0.428039922
12,0.956363636,0.386666667,0.069356275,0.018796865,0.039308351,0.441084733
12,0.956363636,0.386666667,0.082711463,0.026168203,0.038378692,0.438665809
12,0.956363636,0.386666667,0.077634838,0.021678656,0.034517542,0.426464802
12,0.956363636,0.386666667,0.068757143,0.015771793,0.024577847,0.431163823
12,0.956363636,0.386666667,0.081150091,0.019113736,0.0343096,0.434732613
12,0.956363636,0.386666667,0.073851204,0.015113141,0.034891654,0.438799431
12,0.956363636,0.386666667,0.075715517,0.022413267,0.038541184,0.428157698
12,0.956363636,0.386666667,0.071701315,0.020258989,0.031104642,0.442080922
12,0.956363636,0.386666667,0.064861,0.019880656,0.027871352,0.435558622
12,0.956363636,0.386666667,0.077934247,0.020325855,0.041229929,0.436194948
12,0.956363636,0.386666667,0.071058525,0.018817912,0.041572712,0.4344478
12,0.956363636,0.386666667,0.071789198,0.014086411,0.039655824,0.430878444
12,0.956363636,0.386666667,0.072902481,0.015918747,0.034167361,0.430246851
12,0.956363636,0.386666667,0.064216501,0.013913122,0.028788879,0.418464227
12,0.956363636,0.386666667,0.080583438,0.018349952,0.033544683,0.450679944
12,0.956363636,0.386666667,0.067222868,0.015475366,0.034171159,0.439402145
12,0.956363636,0.386666667,0.072409216,0.018274527,0.033060261,0.433301407
12,0.956363636,0.386666667,0.07235152,0.01886015,0.040732487,0.432805947
12,0.956363636,0.386666667,0.070505267,0.020239877,0.039776912,0.446158427
12,0.956363636,0.386666667,0.070725252,0.018463022,0.019294562,0.443178252
12,0.956363636,0.386666667,0.076676947,0.019524566,0.047987512,0.448195568
12,0.956363636,0.386666667,0.072726868,0.020217009,0.039383113,0.459582989
12,0.956363636,0.386666667,0.067020426,0.020256869,0.036843722,0.425760874
12,0.956363636,0.386666667,0.074129979,0.014911571,0.04245362,0.43040367
12,0.956363636,0.386666667,0.069254052,0.020038514,0.037467303,0.445180478
12,0.956363636,0.386666667,0.073015202,0.018415415,0.03399426,0.446116352
12,0.956363636,0.386666667,0.085889622,0.013457391,0.030458379,0.408909066
